# energy dos(up) dos(down)
-1.500495809999999963e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.499695810000000051e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.498905810000000116e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.498115810000000003e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.497315809999999914e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.496525809999999979e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.495735810000000043e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.494935809999999954e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.494145810000000019e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.493355809999999906e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.492555809999999994e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.491765810000000059e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.490975810000000124e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.490175810000000034e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.489385809999999921e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.488595809999999986e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.487795810000000074e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.487005809999999961e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.486215810000000026e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.485415809999999937e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.484625810000000001e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.483835810000000066e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.483035809999999977e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.482245809999999864e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.481455809999999929e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.480655810000000017e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.479865810000000081e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.479075809999999969e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.478275809999999879e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.477485809999999944e+01 0.000000000000000000e+00 -0.000000000000000000e+00
